,Position,Track Name,Artist,Streams,URL,date
79,80,Favorito,Camilo,7579772,https://open.spotify.com/track/0jT8Nl0shPS8115is0wD2Q,2020-07-05
80,81,Secrets,Regard,7565803,https://open.spotify.com/track/66W1rVTnEv86dIkFhoiElg,2020-07-05
81,82,everything i wanted,Billie Eilish,7447924,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,2020-07-05
82,83,Tak Tiki Tak,Harry Nach,7399369,https://open.spotify.com/track/6Hw21Z5CmEV78jrncFpMwz,2020-07-05
83,84,If the World Was Ending - feat. Julia Michaels,JP Saxe,7390329,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,2020-07-05
84,85,lovely (with Khalid),Billie Eilish,7367626,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,2020-07-05
85,86,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,7357022,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO,2020-07-05
86,87,GO (feat. Juice WRLD),The Kid LAROI,7348438,https://open.spotify.com/track/2t7D3y0jvYjR8IP9Bosyew,2020-07-05
87,88,Creature (feat. Swae Lee),Pop Smoke,7308690,https://open.spotify.com/track/3eV2WT9YhfzkxbufnBF8wK,2020-07-05
88,89,Rover (feat. DTG),S1mba,7261007,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf,2020-07-05
89,90,Sour Candy (with BLACKPINK),Lady Gaga,7239458,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u,2020-07-05
90,91,"PORFA Remix ( Feat. Maluma, Nicky Jam, Sech) - Remix",Feid,7191375,https://open.spotify.com/track/7lUdbnz7wsv3C9zzf4WHl9,2020-07-05
91,92,Djadja (feat. Maluma) - Remix,Aya Nakamura,7176516,https://open.spotify.com/track/6AzKhCHOms83jvNVLsz0Bt,2020-07-05
92,93,Boss Bitch,Doja Cat,7164339,https://open.spotify.com/track/78qd8dvwea0Gosb6Fe6j3k,2020-07-05
93,94,Godzilla (feat. Juice WRLD),Eminem,7125822,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,2020-07-05
94,95,Yea Yea,Pop Smoke,7112419,https://open.spotify.com/track/0bjgQ24UZGwKikldIyEOgf,2020-07-05
95,96,Shallow,Lady Gaga,7023812,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2020-07-05
96,97,I Don't Care (with Justin Bieber),Ed Sheeran,6963502,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,2020-07-05
